Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
fsh-generated/resources/Location-example-nyandarua-cancer-center.json	1097	7	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	20	14	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-example-oncology-medicationrequest.json	1628	7	0	0	0	0	0	0	0	2274	0	0	0	0	0	0	0	0	0	0	24	26	0	0	0	0	0	0
fsh-generated/resources/Practitioner-example-oncology-practitioner.json	1721	5	0	0	0	0	0	0	1	2623	0	0	0	0	0	0	0	0	0	0	24	21	0	0	0	0	0	0
fsh-generated/resources/PractitionerRole-example-oncology-practitioner-role.json	1878	6	0	0	0	0	0	0	0	1210	0	0	0	0	0	0	0	0	0	0	25	22	0	0	0	0	0	0
fsh-generated/resources/Procedure-example-surgical-biopsy.json	1889	5	0	0	1	0	0	0	1	2235	0	0	0	0	0	0	0	0	0	0	23	21	0	0	0	0	0	0
fsh-generated/resources/QuestionnaireResponse-example-oncology-questionnaireresponse.json	1519	7	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	49	21	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-search-birthdate.json	372	4	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	18	13	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-search-cancer-stage.json	452	4	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	20	13	0	0	0	1	0	0
fsh-generated/resources/SearchParameter-search-cancer-type.json	400	4	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	21	12	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-search-county.json	385	5	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	39	11	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-search-education-level.json	509	4	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	45	12	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-search-facility-upi.json	446	6	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	19	11	0	0	0	1	0	0
fsh-generated/resources/SearchParameter-search-gender.json	359	5	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	17	11	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-search-national-id.json	439	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	18	13	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-search-occupation.json	480	4	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	19	20	0	0	0	0	0	0
fsh-generated/resources/SearchParameter-search-sha-id.json	413	4	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	18	14	0	0	0	1	0	0
fsh-generated/resources/SearchParameter-search-sub-county.json	401	4	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	24	12	0	0	0	0	0	0
fsh-generated/resources/ServiceRequest-example-oncology-service-request.json	1802	5	0	0	1	0	0	0	0	4793	0	0	0	0	0	0	0	0	0	0	39	26	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-Icdo3Morphology.json	2007	5	0	26	0	0	0	0	1	39	0	0	0	0	0	0	0	1	0	0	169	379	0	0	0	4	0	1
fsh-generated/resources/StructureDefinition-RegistryReporting.json	1721	5	0	20	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	146	252	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-careplan-context-county.json	1325	4	0	22	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	117	218	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-careplan-referral-source.json	1341	5	0	27	0	0	0	0	0	12	0	0	0	0	0	0	0	1	0	0	114	176	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-careplan-registry-flag.json	1184	4	0	30	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	79	156	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-ecogPerformanceStatus.json	1892	5	0	47	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	96	155	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-encounter-context-county.json	1329	4	0	43	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	82	136	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-encounter-referral-source.json	1345	6	0	33	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	89	122	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-encounter-registry-flag.json	1188	5	0	32	0	0	0	0	0	7	0	0	0	0	0	0	0	1	0	0	128	107	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-icdo3-topography.json	1865	5	0	64	1	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	139	215	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-medicationrequest-prescribed-county.json	1383	5	0	51	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	81	118	0	0	0	4	0	1
fsh-generated/resources/StructureDefinition-medicationrequest-registry-flag.json	1250	4	0	47	0	0	0	0	7	8	0	0	0	0	0	0	0	0	0	0	78	116	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-oncology-diagnostic-report-kenya.json	4096	6	0	114	0	0	0	0	0	63	0	0	1	0	0	0	0	1	0	0	418	374	0	1	0	8	0	1
fsh-generated/resources/StructureDefinition-oncology-kenya-careplan.json	4616	8	0	83	0	0	0	0	0	66	0	0	0	0	0	0	0	2	0	0	759	1091	0	0	0	13	0	1
fsh-generated/resources/StructureDefinition-oncology-kenya-claim.json	1935	5	0	158	0	0	0	0	0	53	0	0	0	0	0	0	0	3	0	0	892	1706	0	0	0	18	0	6
fsh-generated/resources/StructureDefinition-oncology-kenya-condition.json	3333	5	0	93	1	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	448	427	0	0	0	8	0	1
fsh-generated/resources/StructureDefinition-oncology-kenya-coverage.json	2280	5	0	147	0	0	0	0	0	23	0	0	1	0	0	0	0	1	0	0	472	498	0	0	0	9	0	1
fsh-generated/resources/StructureDefinition-oncology-kenya-diagnosticreport.json	2401	5	0	98	0	0	0	0	0	19	0	0	0	0	0	0	0	1	0	0	597	319	0	0	0	7	0	0
fsh-generated/resources/StructureDefinition-oncology-kenya-encounter.json	4392	6	0	119	0	0	0	0	0	56	0	0	0	0	0	0	0	2	0	0	723	923	0	0	0	15	1	1
fsh-generated/resources/StructureDefinition-oncology-kenya-location.json	1893	5	0	56	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	514	647	0	0	0	11	0	1
fsh-generated/resources/StructureDefinition-oncology-kenya-medicationrequest.json	3918	6	0	78	0	0	0	0	0	47	0	0	0	0	0	0	0	2	0	0	544	639	0	0	0	12	0	1
fsh-generated/resources/StructureDefinition-oncology-kenya-patient.json	10936	8	0	137	1	0	0	0	1	121	0	0	1	0	0	0	0	2	0	0	954	1509	0	0	0	22	0	2
fsh-generated/resources/StructureDefinition-oncology-kenya-practitioner-role.json	3694	5	0	65	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	334	361	0	0	0	7	0	0
fsh-generated/resources/StructureDefinition-oncology-kenya-practitioner.json	4314	6	0	105	0	0	0	0	0	60	0	0	0	0	0	0	0	1	0	0	505	473	0	0	0	14	0	1
fsh-generated/resources/StructureDefinition-oncology-kenya-procedure.json	5188	6	0	93	0	0	0	0	0	67	0	0	0	0	0	0	0	1	0	0	544	380	0	0	0	12	0	1
fsh-generated/resources/StructureDefinition-oncology-kenya-questionnaireresponse.json	3885	6	0	116	0	0	0	0	0	51	0	0	0	0	0	0	0	1	0	0	395	361	0	0	0	8	0	0
fsh-generated/resources/StructureDefinition-oncology-kenya-registry-report.json	2597	5	0	92	1	0	0	0	0	52	0	0	0	0	0	0	0	1	0	0	489	431	0	0	0	12	0	1
fsh-generated/resources/StructureDefinition-oncology-kenya-service-request.json	4166	5	0	122	0	0	0	0	0	55	0	0	0	0	0	0	0	1	0	0	426	363	0	0	0	11	1	1
fsh-generated/resources/StructureDefinition-oncology-kenya-supplyrequest.json	1816	7	0	78	0	0	0	0	0	35	0	0	0	0	0	0	0	1	0	0	262	217	0	0	0	8	0	0
fsh-generated/resources/StructureDefinition-oncology-observation-kenya.json	5706	68	0	95	0	0	0	0	0	110	0	0	1	0	0	0	0	1	0	0	519	1094	0	0	0	13	0	1
fsh-generated/resources/StructureDefinition-oncology-service-focus.json	1325	5	0	19	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	82	235	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-patient-educationLevel.json	4892	5	0	26	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	236	300	0	0	0	16	0	1
fsh-generated/resources/StructureDefinition-patient-occupation.json	1413	5	0	21	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	111	265	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-practitioner-cadre-code.json	1320	5	0	19	0	0	0	0	0	19	0	0	0	0	0	0	0	1	0	0	88	92	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-practitioner-role-county.json	1315	4	0	20	1	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	79	161	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-practitioner-work-county.json	1349	5	0	20	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	77	134	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-procedure-cancer-stage.json	1288	4	0	21	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	85	125	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-procedure-context-county.json	1335	5	0	19	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	91	123	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-procedure-referral-source.json	1327	4	0	20	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	88	125	0	0	0	1	0	1
fsh-generated/resources/StructureDefinition-procedure-registry-report-flag.json	1201	5	0	20	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	84	89	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-questionnaire-context-county.json	1367	15	0	20	0	0	0	0	0	27	0	0	2	0	0	0	0	0	0	0	79	86	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-questionnaire-referral-source.json	1369	5	0	19	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	81	78	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-questionnaire-registry-flag.json	1204	4	0	25	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	75	78	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-report-cancer-stage.json	1336	4	0	23	0	0	0	0	0	15	0	0	1	0	0	0	0	1	0	0	88	81	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-report-registry-flag.json	1168	4	0	24	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	76	79	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-report-specimen-origin-county.json	1352	5	0	21	0	0	0	0	1	43	0	0	0	0	0	0	0	0	0	0	90	84	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-service-request-context-county.json	1348	7	0	17	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	78	107	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-service-request-referral-type.json	1354	5	0	4	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	79	87	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-service-request-registry-flag.json	1211	4	0	5	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	80	81	0	0	0	3	0	1
fsh-generated/resources/SupplyRequest-example-biopsy-needle-supply-request.json	941	5	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	20	23	0	0	0	0	0	0
fsh-generated/resources/SupplyRequest-example-chemotherapy-supply-request.json	929	4	0	0	0	0	0	0	2	4	0	0	0	0	0	0	0	0	0	0	18	13	0	0	0	0	0	0
fsh-generated/resources/ValueSet-cancer-icd10.json	1184	4	0	0	1	0	0	0	1	64	0	0	0	0	0	0	0	0	0	0	37	3057	0	0	0	0	0	0
fsh-generated/resources/ValueSet-cancer-observation-method-vs.json	529	4	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	16	48	0	0	0	1	0	0
fsh-generated/resources/ValueSet-cancer-stage.json	446	4	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	13	61	0	0	0	0	0	0
fsh-generated/resources/ValueSet-ecog-performance-status.json	1084	4	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	15	85	0	0	0	0	0	0
fsh-generated/resources/ValueSet-ecog-status-vs.json	444	4	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	12	60	0	0	0	1	0	0
fsh-generated/resources/ValueSet-tumor-markers.json	400	4	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	14	43	0	0	0	0	0	0
/fsh-generated/resources/ImplementationGuide-medby-ig.json	3761	-	0	0	0	0	0	0	1	12	0	0	0	0	0	0	0	0	0	0	30	26	0	0	0	2	0	0
